SellerCity,SellerIsPriv,SellerListSrc,SellerRating,SellerRevCnt,VehCertified,VehColorExt,VehFuel,VehListdays,VehMake,VehMileage,VehModel,VehPriceLabel,VehYear,Vehicle_Trim,Dealer_Listing_Price,0 Owners,1 Owner,2 Owners,3 Owners,4 Owners,Accident(s) Reported,Buyback Protection Eligible,Non-Personal Use Reported,Title Issue(s) Reported,IntColor1,NumCylinders,CylinderSize,HEMI,AWD,4WD,Tricoat,Metallic
other,False,Inventory Command Center,5.0,32,False,White,Gasoline,8.600069444,Jeep,39319.0,Grand Cherokee,Fair Price,2015,High Altitude,30990.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,1,0,0
other,False,Cadillac Certified Program,5.0,1456,True,Black,Gasoline,2.920127315,Cadillac,30352.0,XT5,Good Deal,2017,,34860.0,0,1,0,0,0,0,1,0,0,N/A,,,0,0,0,0,0
other,False,Jeep Certified Program,5.0,1405,True,Brilliant Black,Gasoline,28.10701389,Jeep,38957.0,Grand Cherokee,Good Deal,2015,Laredo,23249.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,1,0
other,False,Inventory Command Center,,21,False,Diamond Black,Gasoline,59.816875,Jeep,20404.0,Grand Cherokee,Good Deal,2018,Limited,31977.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,1,1,0
other,False,HomeNet Automotive,4.0,74,False,Radiant Silver,Gasoline,98.66530093,Cadillac,19788.0,XT5,Good Deal,2018,Luxury,33495.0,0,1,0,0,0,0,1,1,0,cirrus,6,3.6,0,0,0,0,1
other,False,Digital Motorworks (DMi),3.0,51,False,Billet Silver,Gasoline,30.9675,Jeep,34649.0,Grand Cherokee,Good Deal,2018,Limited,27900.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,1,0,1
other,False,Digital Motorworks (DMi),,17,False,True Blue,Gasoline,194.482338,Jeep,48814.0,Grand Cherokee,Good Deal,2017,Laredo,22989.0,0,1,0,0,0,1,1,1,0,black,6,3.6,0,0,1,1,0
other,False,Digital Motorworks (DMi),5.0,240,False,Red,Gasoline,28.84953704,Jeep,29095.0,Grand Cherokee,Great Deal,2018,Limited,28793.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,1,0,0
other,False,Jeep Certified Program,4.0,72,True,True Blue,Gasoline,74.20424769,Jeep,26395.0,Grand Cherokee,Great Deal,2018,Limited 4x4,30493.0,0,1,0,0,0,0,1,1,0,N/A,6,3.6,0,0,1,0,0
other,False,Digital Motorworks (DMi),5.0,774,False,Bright White,Gasoline,6.731481481,Jeep,17692.0,Grand Cherokee,Good Deal,2018,Limited,36500.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,1,0,0
other,False,Digital Motorworks (DMi),4.0,44,False,Billet Silver,E85 Flex Fuel,0.944027778,Jeep,40398.0,Grand Cherokee,,2015,Altitude,26999.0,0,0,0,0,0,0,0,0,0,black,6,3.6,0,0,1,0,1
other,False,Inventory Command Center,5.0,69,False,Brilliant Black,Diesel,28.3153125,Jeep,32858.0,Grand Cherokee,Good Deal,2015,Limited,28000.0,0,1,0,0,0,0,1,0,0,black,6,3.0,0,0,1,1,0
other,False,Digital Motorworks (DMi),5.0,187,False,True Blue,Gasoline,4.945428241,Jeep,34437.0,Grand Cherokee,Good Deal,2017,Limited,29996.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,1,0
other,False,Inventory Command Center,,1,False,Billet Silver,Gasoline,39.52231481,Jeep,15285.0,Grand Cherokee,Good Deal,2018,Overland,36895.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,1,0,1
other,False,HomeNet Automotive,4.0,629,False,Dark Granite,Gasoline,5.682476852,Cadillac,21098.0,XT5,Good Deal,2018,Premium Luxury,35830.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,0,0,1
other,False,HomeNet Automotive,5.0,360,True,White,Gasoline,6.737384259,Cadillac,3547.0,XT5,Good Deal,2019,Luxury,45988.0,0,1,0,0,0,0,1,0,0,cirrus,6,3.6,0,0,0,1,0
other,False,Digital Motorworks (DMi),4.0,368,False,Billet Silver,Gasoline,14.95806713,Jeep,14751.0,Grand Cherokee,Fair Price,2018,Limited,38376.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,0,1
other,False,HomeNet Automotive,5.0,166,False,Bright White,Gasoline,146.7290509,Jeep,13354.0,Grand Cherokee,Great Deal,2018,Limited,32990.0,0,1,0,0,0,0,1,1,0,beige,6,3.6,0,0,1,0,0
other,False,Digital Motorworks (DMi),,4,False,White,Gasoline,11.78684028,Cadillac,12146.0,XT5,Good Deal,2017,Base,32998.0,0,1,0,0,0,0,1,1,0,N/A,6,3.6,0,0,0,0,0
other,False,HomeNet Automotive,5.0,335,False,Bright White,Gasoline,10.94025463,Jeep,43231.0,Grand Cherokee,Good Deal,2015,Limited,22877.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,0,0
other,False,Jeep Certified Program,,5,True,Gray,Gasoline,2.961574074,Jeep,22782.0,Grand Cherokee,Fair Price,2018,,41981.0,0,0,1,0,0,0,1,1,0,N/A,,,0,0,0,0,0
other,False,Digital Motorworks (DMi),4.0,312,False,Dark Granite,Gasoline,25.89943287,Cadillac,28293.0,XT5,Good Deal,2018,Premium Luxury,34782.0,0,1,0,0,0,0,1,1,0,cirrus,6,3.6,0,0,0,0,1
other,False,Inventory Command Center,5.0,622,False,other,Gasoline,38.11453704,Cadillac,25410.0,XT5,Good Deal,2018,Luxury,36500.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,1,0,0,0
other,False,HomeNet Automotive,5.0,32,False,Bright White,Gasoline,26.82459491,Jeep,46196.0,Grand Cherokee,Good Deal,2017,Limited,26072.0,0,1,0,0,0,1,1,1,0,black,6,3.6,0,0,1,0,0
other,False,Digital Motorworks (DMi),5.0,175,False,other,E85 Flex Fuel,117.8453935,Jeep,30726.0,Grand Cherokee,Great Deal,2015,Laredo,19997.0,0,1,0,0,0,0,1,0,0,N/A,6,3.6,0,0,1,0,0
other,False,Digital Motorworks (DMi),5.0,865,False,Granite,Gasoline,18.92076389,Jeep,35990.0,Grand Cherokee,Good Deal,2015,Summit,31750.0,0,1,0,0,0,0,1,0,0,black,8,5.7,0,0,1,1,1
Battle Creek,False,Inventory Command Center,5.0,107,False,Velvet Red,Gasoline,73.76600694,Jeep,12912.0,Grand Cherokee,Good Deal,2017,Limited,31992.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,1,0
other,False,Digital Motorworks (DMi),1.0,89,False,Brilliant Black,Gasoline,24.96532407,Jeep,39544.0,Grand Cherokee,Good Deal,2015,Limited,24999.0,0,1,0,0,0,1,1,0,0,beige,6,3.6,0,0,1,1,0
